community,freightfare_kg_from_winnipeg_to_nunavut communities,population,%_of_population,personnel_costs_as_%_of_pop,recommended_personnel_costs_individual,personnel_cost_monthly_rough,no_of_personnel,storage_cost_per_2870_items,personnel_costs,total_overhead_per_region_per1000kg of food,2000kg
Arctic Bay,11.12,868,2.4,1200,1000,2000,3,500,3000,,
Arviat,6,2657,7.37,3685,1000,2000,8,500,8000,,
Baker Lake,8.11,2069,5.74,2870,1000,2000,6,500,6000,,
Cape Dorset,9,1441,4,2000,1000,2000,4,500,4000,,
Cambridge Bay,10.1,1766,4.9,2450,1000,2000,4,500,4000,,
Chesterfield Inlet,6.79,437,1.21,605,1000,2000,2,500,2000,,
Clyde River,11.21,1053,2.92,1460,1000,2000,3,500,3000,,
Coral Harbor,9,891,2.47,1235,1000,2000,3,500,3000,,
Gjoa Haven,11.1,1324,3.67,1835,1000,2000,4,500,4000,,
Grise Fiord,13,129,0.35,175,1000,2000,2,500,2000,,
Hall Beach,8.12,848,2.35,1175,1000,2000,2,500,2000,,
Igloolik,9.02,1682,4.67,2335,1000,2000,5,500,5000,,
Iqaluit,11.1,7740,21.5,"10,500",1000,2000,15,500,15000,,
Kimmirut,12.3,389,1.08,540,1000,2000,2,500,2000,,
Kuggaruk,8.3,933,2.59,1295,1000,2000,3,500,3000,,
Kugluktuk,11.1,1491,4.14,2070,1000,2000,4,500,4000,,
Naujaat,10.1,1082,3,1500,1000,2000,3,500,3000,,
Pangnirtung,11.1,1481,4.11,2055,1000,2000,4,500,4000,,
Pond Inlet,11.12,1617,4.5,2250,1000,2000,4,500,4000,,
Qikiqtarjuag,11.1,598,1.66,830,1000,2000,2,500,2000,,
Rankin Inlet,5.19,2842,7.89,3945,1000,2000,8,500,8000,,
Resolute,11.12,198,0.54,270,1000,2000,2,500,2000,,
Sanikiluaq,10.17,882,2.44,1220,1000,2000,3,500,3000,,
Taloyoak,9.1,1029,2.857,1428,1000,2000,3,500,3000,,
Whale Cove,7.34,435,1.2,600,1000,2000,2,500,2000,,
Total,,39486,,,"101,000",50000,101,12500,101000,,
,,36011,,,,,,,,,
average,,1435.28,,,,,,,,,
,,2980,,,,,,,,,
,,4309,,,,,,,,,